FIPS,Accommodation and Food Services,Administrative and Support and Waste Management and Remediation Services,"Agriculture, Forestry, Fishing and Hunting","Arts, Entertainment, and Recreation",Construction,Educational Services,Finance and Insurance,Health Care and Social Assistance,Information,Management of Companies and Enterprises,Manufacturing,"Mining, Quarrying, and Oil and Gas Extraction",Other Services (except Public Administration),"Professional, Scientific, and Technical Services",Retail Trade,Transportation and Warehousing,Utilities,Wholesale Trade
1023,0.037327,0.00381,0.161596,0.0,0.078835,0.0,0.043598,0.080029,0.024673,0.0,0.348894,0.0,0.04184,0.017342,0.101231,0.049178,0.0,0.011646
1025,0.100741,0.014809,0.059436,0.002553,0.014578,0.027589,0.085122,0.147337,0.027299,0.0,0.181453,0.007391,0.053957,0.014415,0.188076,0.03821,0.010873,0.026161
1027,0.028877,0.004424,0.030357,0.0,0.011012,0.0,0.047965,0.128477,0.017109,0.0,0.586763,0.0,0.040297,0.014873,0.06901,0.014719,0.0,0.006118
1029,0.078426,0.045597,0.029417,0.0,0.212146,0.0,0.066578,0.03216,0.007172,0.0,0.208267,0.0,0.091278,0.005334,0.186756,0.013736,0.0,0.023133
1031,0.117422,0.028052,0.003962,0.008733,0.022666,0.011459,0.05868,0.125355,0.018408,0.0,0.252075,0.0,0.060477,0.062245,0.162061,0.014787,0.003691,0.049928
1033,0.076823,0.142476,0.001219,0.009128,0.080062,0.004435,0.051818,0.117908,0.016515,0.002505,0.260083,0.003994,0.055973,0.016631,0.103221,0.031602,0.0,0.025608
1035,0.097884,0.011321,0.106822,0.003368,0.01992,0.0,0.02885,0.172069,0.018555,0.0,0.1525,0.0,0.026293,0.009741,0.118491,0.142141,0.0,0.092045
1037,0.172504,0.007124,0.109901,0.0,0.055268,0.0,0.018423,0.115561,0.0,0.0,0.338673,0.0,0.039916,0.03506,0.078716,0.009594,0.0,0.01926
1039,0.091969,0.037628,0.010657,0.010696,0.037542,0.001538,0.061073,0.148461,0.029113,0.0,0.165474,0.000289,0.059027,0.037239,0.152413,0.051704,0.059104,0.046074
1041,0.058139,0.024966,0.076382,0.0,0.029069,0.0,0.053107,0.107612,0.003553,0.0,0.328068,0.0,0.039567,0.01359,0.068481,0.053236,0.0,0.144229
1043,0.106049,0.036127,0.005278,0.006239,0.036812,0.006286,0.052777,0.136923,0.024739,0.041517,0.18419,0.0,0.064798,0.020894,0.135241,0.091072,0.006527,0.044531
1045,0.080472,0.016771,0.009495,0.002261,0.05245,0.016963,0.056191,0.09727,0.005362,0.058755,0.034141,0.0,0.061032,0.066974,0.095876,0.327332,0.009999,0.008656
1047,0.074824,0.035474,0.009425,0.006811,0.054522,0.020409,0.054331,0.138592,0.023324,0.0,0.285858,0.0,0.090181,0.026391,0.134874,0.017608,0.007264,0.020112
1049,0.085273,0.047345,0.0,0.003412,0.027232,0.008937,0.043332,0.13273,0.032847,0.0,0.370369,0.0,0.030147,0.022282,0.113549,0.045473,0.0,0.037071
1051,0.185555,0.013628,0.006115,0.006723,0.048469,0.043306,0.04689,0.132409,0.012546,0.004041,0.164609,0.001236,0.084136,0.03511,0.173954,0.012612,0.009347,0.019315
1053,0.17229,0.021412,0.032631,0.007591,0.030702,0.0,0.059958,0.1089,0.020948,0.012495,0.191101,0.018285,0.048129,0.023416,0.156217,0.070216,0.01072,0.01499
1055,0.115238,0.054187,0.000439,0.010872,0.028565,0.012559,0.061835,0.218042,0.031651,0.006585,0.153467,0.0,0.069327,0.027728,0.147286,0.025638,0.00609,0.03049
1057,0.067734,0.0,0.039523,0.0,0.016042,0.0,0.043374,0.205283,0.018882,0.0,0.330252,0.016551,0.059647,0.01966,0.153591,0.020846,0.0,0.008615
1059,0.051191,0.014521,0.006721,0.001283,0.017089,0.0,0.062405,0.078045,0.010425,0.071864,0.538644,0.003433,0.023582,0.014322,0.072933,0.021413,0.0,0.01213
1061,0.069299,0.041418,0.0,0.003013,0.040145,0.0,0.067865,0.141465,0.013669,0.0,0.143176,0.0,0.04073,0.032274,0.165361,0.115664,0.01576,0.110161
1063,0.0168,0.0,0.022372,0.164763,0.049154,0.0,0.04231,0.068443,0.011864,0.0,0.471327,0.0,0.03595,0.005882,0.099553,0.011583,0.0,0.0
1065,0.083809,0.001519,0.078761,0.0,0.075714,0.0,0.067619,0.206665,0.021186,0.0,0.24863,0.0,0.037143,0.018651,0.135237,0.013638,0.0,0.011428
1067,0.050079,0.020182,0.053444,0.0,0.028126,0.021543,0.043447,0.040017,0.0,0.02799,0.070951,0.0,0.060115,0.052811,0.070659,0.069095,0.348552,0.04299
