FIPS,Health Care and Social Assistance,Manufacturing,Retail Trade,Accommodation and Food Services,Others
12097,0.146784,0.020099,0.17199,0.216053,0.445074
12099,0.135318,0.023208,0.117931,0.104505,0.619038
12101,0.190918,0.030155,0.20114,0.118974,0.458813
12103,0.15239,0.063479,0.106319,0.097032,0.58078
12105,0.122495,0.072543,0.12265,0.080272,0.60204
12107,0.184592,0.143477,0.191365,0.106458,0.374108
12113,0.117282,0.030712,0.156431,0.178454,0.517121
12115,0.173197,0.058378,0.163031,0.127071,0.478323
12117,0.138158,0.029077,0.171691,0.154108,0.506966
12109,0.166555,0.042284,0.143198,0.117039,0.530924
12111,0.086527,0.032456,0.1164,0.077863,0.686754
12119,0.189201,0.041204,0.156055,0.15309,0.46045
12121,0.13368,0.241181,0.198482,0.104956,0.321701
12123,0.092892,0.343884,0.168135,0.093264,0.301825
12125,0.18412,0.085285,0.126302,0.056134,0.548159
12127,0.148293,0.052214,0.148544,0.12865,0.522298
12129,0.04335,0.113512,0.210588,0.156059,0.476491
12131,0.086148,0.012032,0.207526,0.269481,0.424814
12133,0.156131,0.060745,0.150134,0.104954,0.528037
13001,0.151179,0.096887,0.153164,0.081087,0.517682
13003,0.020896,0.438338,0.084217,0.041159,0.41539
13005,0.157696,0.211269,0.083887,0.050931,0.496217
13007,0.10159,0.0,0.150177,0.0,0.748233
13009,0.288041,0.078195,0.168839,0.141591,0.323334
13011,0.047744,0.074705,0.221335,0.293089,0.363127
13013,0.078923,0.158232,0.144138,0.107106,0.511602
13015,0.082539,0.227583,0.105461,0.108837,0.47558
13017,0.101943,0.374801,0.146223,0.077539,0.299494
13019,0.095929,0.427998,0.118952,0.089854,0.267267
13021,0.161571,0.061288,0.117045,0.089373,0.570723
13023,0.143435,0.031659,0.244241,0.180047,0.400618
13025,0.103876,0.109132,0.199617,0.0826,0.504775
13027,0.220918,0.065993,0.136663,0.043539,0.532888
13029,0.108076,0.050856,0.182561,0.193847,0.46466
13031,0.167672,0.077793,0.165268,0.168427,0.42084
13033,0.051404,0.028527,0.066857,0.038273,0.814939
13035,0.100763,0.159947,0.152136,0.100929,0.486224
13037,0.096312,0.0,0.093709,0.0,0.809978
13039,0.097176,0.024088,0.19108,0.207629,0.480027
13043,0.179083,0.116274,0.154976,0.127425,0.422242
13045,0.133184,0.244474,0.118328,0.112489,0.391524
13047,0.106441,0.138364,0.244368,0.158657,0.35217
13049,0.040667,0.193257,0.131508,0.102989,0.531578
13051,0.115691,0.100893,0.111076,0.132336,0.540005
13053,0.020225,0.0,0.029019,0.109919,0.840837
13055,0.072393,0.473627,0.126319,0.096217,0.231444
13057,0.123198,0.098752,0.159249,0.1338,0.485
13059,0.203164,0.105354,0.147481,0.154575,0.389425
13061,0.053098,0.0,0.242734,0.0,0.704168
13063,0.090455,0.060117,0.12075,0.10853,0.620149
13065,0.122187,0.436643,0.086019,0.056695,0.298456
13067,0.083279,0.043433,0.081999,0.075223,0.716067
13069,0.135602,0.250703,0.12198,0.10562,0.386095
13071,0.190946,0.265556,0.142984,0.076138,0.324376
13073,0.11069,0.079886,0.174408,0.13658,0.498436
13075,0.10738,0.216607,0.179403,0.167093,0.329517
13077,0.126302,0.136551,0.144519,0.117697,0.474931
13079,0.118002,0.085354,0.191129,0.054846,0.550669
13081,0.169976,0.197447,0.15476,0.147347,0.33047
13083,0.072915,0.227918,0.153062,0.108771,0.437334
13085,0.067199,0.112103,0.362268,0.182129,0.276301
13089,0.111219,0.214463,0.177071,0.157592,0.339654
13087,0.122308,0.030153,0.085835,0.073673,0.688031
13091,0.283071,0.148916,0.179582,0.101275,0.287156
13093,0.013728,0.532882,0.089394,0.039908,0.324087
13095,0.201689,0.072758,0.133547,0.109765,0.482241
13097,0.11129,0.100156,0.192941,0.126623,0.46899
13099,0.09547,0.305347,0.092918,0.048501,0.457764
13101,0.054886,0.0,0.142703,0.0,0.802412
13103,0.103596,0.18619,0.162181,0.091042,0.45699
13105,0.094917,0.422936,0.109772,0.060191,0.312184
13107,0.14163,0.338787,0.134211,0.070984,0.314388
13109,0.08861,0.44744,0.098552,0.063756,0.301642
13111,0.162936,0.05541,0.247931,0.173259,0.360463
13113,0.139839,0.05883,0.137614,0.120002,0.543715
13115,0.202237,0.167509,0.096618,0.115014,0.418621
13117,0.111736,0.096528,0.119036,0.080469,0.592231
13119,0.084579,0.207856,0.115417,0.122444,0.469705
13121,0.07649,0.019936,0.045805,0.072441,0.785328
13123,0.068058,0.231276,0.179634,0.142822,0.37821
13125,0.565293,0.0,0.237283,0.0,0.197423
13127,0.157222,0.059022,0.148355,0.221282,0.414119
13129,0.094535,0.263063,0.107784,0.075077,0.459542
13131,0.082406,0.233918,0.135289,0.071568,0.476819
13133,0.117622,0.082144,0.120008,0.250749,0.429478
