FIPS,AgeDist
31059,0.2362
31061,0.2807
31063,0.2522
31065,0.2572
31067,0.2147
31069,0.2801
31071,0.3027
31073,0.2431
31075,0.2456
31077,0.2638
31079,0.1521
31081,0.2063
31083,0.2806
31085,0.2814
31087,0.2638
31089,0.2261
31091,0.3002
31093,0.2141
31095,0.2446
31097,0.1862
31099,0.203
31101,0.271
31103,0.3242
31105,0.2612
31107,0.2589
31109,0.1473
31111,0.2053
31113,0.2366
31115,0.2715
31117,0.2547
31119,0.1655
31121,0.2131
31123,0.2228
31125,0.2147
31127,0.2054
31129,0.2766
31131,0.2031
31133,0.2958
31135,0.2383
31137,0.2096
31139,0.2009
31141,0.1793
31143,0.2343
31145,0.2142
31147,0.248
31149,0.2797
31151,0.1535
31153,0.1238
31155,0.1892
31157,0.1984
31159,0.177
31161,0.271
31163,0.2813
31165,0.3142
31167,0.1931
31169,0.252
31171,0.2921
31173,0.121
31175,0.2524
31177,0.1877
31179,0.1676
31181,0.2296
31183,0.2819
31185,0.2101
32001,0.1937
32003,0.1545
32005,0.3076
32007,0.1245
32009,0.3428
32011,0.1842
32013,0.1497
32015,0.1648
32017,0.2549
32019,0.2171
32021,0.2646
32023,0.3097
32027,0.1691
32029,0.334
32031,0.1714
32033,0.1954
