FIPS,% Adults with Diabetes,% Black,% American Indian & Alaska Native,% 65 and over
12029,15.400000,9.568862,0.580838,23.646707
12031,11.900000,29.465439,0.452651,14.048166
12033,13.100000,22.718312,0.899428,16.843827
12035,12.100000,9.962790,0.399761,30.720908
12037,12.000000,12.159168,0.996933,23.977505
12039,20.000000,55.122674,0.583954,17.860723
12041,15.100000,5.417397,0.684706,20.491893
12043,20.800000,13.028272,5.187992,27.280676
12045,12.700000,16.827518,0.661965,21.572631
12047,15.200000,32.124389,1.055206,17.994410
12049,16.300000,6.661773,1.174527,16.634245
12051,11.200000,10.821542,2.033401,13.745308
12053,15.800000,5.156000,0.486208,27.460247
12055,15.600000,9.598384,0.663037,35.306951
12057,9.800000,15.907085,0.524954,14.288866
12059,14.400000,6.659136,1.042255,19.874724
12061,12.300000,9.030385,0.437067,33.046191
12063,15.900000,26.456889,0.875686,19.509368
12065,13.300000,33.748600,0.412934,23.530235
12067,14.700000,13.066880,0.813101,16.044434
12069,12.600000,10.338153,0.607302,26.678916
12071,11.000000,8.083646,0.502511,28.610010
12073,8.400000,31.030557,0.342220,13.386233
12075,14.900000,8.955114,0.730930,24.780476
12077,13.300000,18.907414,1.194277,14.532340
12079,17.200000,37.292892,0.707000,20.497598
12081,10.300000,8.446898,0.506009,27.395626
12083,15.100000,12.508855,0.520589,28.940182
12085,9.200000,5.222109,0.934051,30.880233
12086,7.500000,15.579663,0.279079,16.226647
12087,6.300000,6.132459,0.517147,23.013049
12089,11.100000,5.736788,0.499814,22.185199
12091,11.100000,9.611182,0.726110,16.012525
12093,14.300000,8.524930,1.557647,19.784770
12095,9.200000,20.235470,0.567271,11.937899
12097,11.400000,9.560042,0.814968,13.208239
12099,9.900000,18.594884,0.586497,23.908486
12101,13.000000,5.574560,0.477735,22.627541
12103,10.500000,10.459355,0.387478,24.776577
12105,14.900000,14.631876,0.667364,20.217540
12107,17.300000,15.844828,0.718687,23.197551
12109,7.900000,5.223373,0.315817,20.246912
12111,11.600000,19.818577,0.562081,24.134613
12113,11.200000,6.133851,0.877618,15.971653
12115,9.000000,4.391425,0.319180,36.677384
12117,9.300000,11.391482,0.437978,15.504070
12119,16.100000,7.033568,0.403094,57.587337
12121,14.000000,12.396189,0.746758,21.366342
12123,13.300000,19.280396,0.975813,20.441197
12125,13.800000,21.941098,0.528782,14.973226
12127,12.900000,10.366221,0.473392,24.424424
12129,8.400000,12.803056,0.739349,15.668032
12131,12.800000,5.039580,0.805604,20.563222
12133,14.800000,14.501608,1.362540,17.536174
13000,11.800000,31.501715,0.521718,13.882908
13001,17.700000,18.873940,0.561950,17.231318
13003,13.300000,16.053995,1.494516,14.065325
13005,18.400000,16.092982,0.411265,16.039338
13007,20.600000,43.952135,0.485123,22.509702
13009,11.600000,42.203779,0.330188,16.011869
13011,11.000000,2.596377,0.658311,17.489994
13013,17.500000,11.876152,0.525932,12.446633
13015,13.800000,10.810277,0.577964,14.017743
13017,13.300000,35.724072,0.637398,17.507595
13019,13.900000,10.726158,0.399958,17.099522
13021,13.700000,54.956726,0.282831,15.595545
13023,8.300000,26.304720,0.218103,16.848419
13025,7.000000,3.497910,0.497433,16.616394
13027,12.800000,34.396957,0.399665,19.828531
13029,11.200000,14.198746,0.551051,10.627411
13031,11.900000,29.158042,0.399762,11.462430
13033,14.100000,46.889355,0.432592,15.595594
13035,12.600000,28.289175,0.363742,15.549952
13037,18.800000,60.232997,0.472292,15.664358
