FIPS,County,State,Total Population,Population 0-4,Population 5-17,Population 18-24,Population 25-44,Population 45-64,Population 65+,Population Under 18,Population 18-54,Population 55+,Male Population,Female Population,Population Density
51011,Appomattox County,Virginia,15911.0,925.0,2417.0,1196.0,3694.0,4313.0,3366.0,3342.0,6906.0,5663.0,7715.0,8187.0,18.38099177775875
51013,Arlington County,Virginia,236842.0,13688.0,29266.0,19640.0,95024.0,52942.0,26282.0,42954.0,144264.0,49624.0,119496.0,118896.0,3517.4728587765285
51015,Augusta County,Virginia,75558.0,3199.0,10809.0,5583.0,17605.0,21821.0,16541.0,14008.0,33445.0,28105.0,38597.0,37523.0,30.166384896150777
51017,Bath County,Virginia,4147.0,168.0,459.0,262.0,820.0,1277.0,1161.0,627.0,1668.0,1852.0,2110.0,2059.0,3.025624663887172
51019,Bedford County,Virginia,78997.0,3626.0,11906.0,5771.0,16330.0,24105.0,17259.0,15532.0,33059.0,30406.0,39081.0,40350.0,40.12841317757229
51021,Bland County,Virginia,6280.0,244.0,695.0,397.0,1576.0,1884.0,1484.0,939.0,2949.0,2392.0,3455.0,2837.0,6.779578539273929
51023,Botetourt County,Virginia,33419.0,1401.0,4901.0,2283.0,6728.0,10333.0,7773.0,6302.0,13849.0,13268.0,16644.0,16856.0,23.83835521691822
51025,Brunswick County,Virginia,16231.0,711.0,1957.0,1393.0,4214.0,4422.0,3534.0,2668.0,7611.0,5952.0,8697.0,7479.0,11.06754707472832
51027,Buchanan County,Virginia,21004.0,872.0,2767.0,1375.0,4757.0,6389.0,4844.0,3639.0,9121.0,8244.0,10628.0,10403.0,16.12731149698223
51029,Buckingham County,Virginia,17148.0,697.0,2334.0,1208.0,4593.0,4854.0,3462.0,3031.0,8166.0,5951.0,9441.0,7693.0,11.422744241722885
51031,Campbell County,Virginia,54885.0,2705.0,7937.0,4310.0,13476.0,15319.0,11138.0,10642.0,24918.0,19325.0,26924.0,28447.0,42.112299865294354
51033,Caroline County,Virginia,30725.0,1934.0,5073.0,2120.0,8143.0,8249.0,5206.0,7007.0,14208.0,9510.0,15215.0,15530.0,22.484402511434215
51035,Carroll County,Virginia,29791.0,1237.0,4064.0,1953.0,6119.0,8847.0,7571.0,5301.0,12217.0,12273.0,14876.0,15146.0,24.228556530315984
51036,Charles City County,Virginia,6963.0,260.0,764.0,461.0,1399.0,2304.0,1775.0,1024.0,2814.0,3125.0,3402.0,3567.0,14.70556838543476
51037,Charlotte County,Virginia,11880.0,663.0,1821.0,883.0,2399.0,3427.0,2687.0,2484.0,4771.0,4625.0,5874.0,5975.0,9.650611166097166
51041,Chesterfield County,Virginia,352802.0,21055.0,61956.0,30437.0,90492.0,94509.0,54353.0,83011.0,168739.0,101052.0,170049.0,183327.0,321.5963945777358
51043,Clarke County,Virginia,14619.0,637.0,2218.0,1067.0,2915.0,4588.0,3194.0,2855.0,6089.0,5675.0,7223.0,7353.0,32.0828398192711
51045,Craig County,Virginia,5131.0,210.0,689.0,367.0,1016.0,1610.0,1239.0,899.0,2111.0,2121.0,2559.0,2568.0,6.038101173905483
51047,Culpeper County,Virginia,52605.0,3402.0,9617.0,4017.0,13054.0,14073.0,8442.0,13019.0,24021.0,15565.0,26262.0,26460.0,53.5643826044476
51049,Cumberland County,Virginia,9932.0,459.0,1422.0,719.0,2184.0,2858.0,2290.0,1881.0,4199.0,3852.0,4807.0,5160.0,12.8898977663689
51051,Dickenson County,Virginia,14318.0,679.0,2122.0,932.0,3342.0,3953.0,3290.0,2801.0,6091.0,5426.0,7285.0,7010.0,16.729359331237564
51053,Dinwiddie County,Virginia,28544.0,1330.0,4348.0,2180.0,6994.0,8571.0,5121.0,5678.0,13216.0,9650.0,14135.0,14669.0,21.871257634077654
51057,Essex County,Virginia,10953.0,536.0,1482.0,757.0,2402.0,3176.0,2600.0,2018.0,4565.0,4370.0,5111.0,5825.0,16.448797811836837
51059,Fairfax County,Virginia,1147532.0,71841.0,194984.0,95209.0,317672.0,307365.0,160461.0,266825.0,573526.0,307181.0,571965.0,580394.0,1133.1586653427648
51061,Fauquier County,Virginia,71222.0,4054.0,12398.0,5536.0,16404.0,20758.0,12072.0,16452.0,31961.0,22809.0,35239.0,36058.0,42.43632169759387
51063,Floyd County,Virginia,15749.0,750.0,2297.0,1040.0,3309.0,4655.0,3698.0,3047.0,6453.0,6249.0,7932.0,7864.0,15.963135453219003
51065,Fluvanna County,Virginia,27270.0,1432.0,3974.0,1888.0,6829.0,7547.0,5600.0,5406.0,12333.0,9531.0,12517.0,14749.0,36.671442542692986
51067,Franklin County,Virginia,56042.0,2538.0,7968.0,4260.0,11067.0,16657.0,13552.0,10506.0,22766.0,22770.0,27624.0,28561.0,31.33112164417555
51069,Frederick County,Virginia,89313.0,5224.0,15083.0,6765.0,21890.0,24412.0,15939.0,20307.0,40744.0,28262.0,44617.0,44866.0,83.4621653322576
51071,Giles County,Virginia,16720.0,881.0,2528.0,1180.0,3701.0,4693.0,3737.0,3409.0,7247.0,6064.0,8238.0,8455.0,18.071665153134088
51073,Gloucester County,Virginia,37348.0,1871.0,5575.0,2589.0,8735.0,11249.0,7329.0,7446.0,16228.0,13674.0,18402.0,19097.0,66.20602907823822
51075,Goochland County,Virginia,23753.0,888.0,3193.0,1626.0,4953.0,7657.0,5436.0,4081.0,10016.0,9656.0,11765.0,12184.0,32.68026848434468
51077,Grayson County,Virginia,15550.0,616.0,1944.0,1097.0,3309.0,4646.0,3938.0,2560.0,6595.0,6395.0,8025.0,7549.0,13.590058006475177
51079,Greene County,Virginia,19819.0,1229.0,3481.0,1349.0,4789.0,5436.0,3535.0,4710.0,8715.0,6394.0,9722.0,10179.0,49.073317658577636
51081,Greensville County,Virginia,11336.0,462.0,1399.0,959.0,3552.0,3230.0,1734.0,1861.0,6278.0,3197.0,7109.0,4180.0,14.825382884345514
51083,Halifax County,Virginia,33911.0,1787.0,5049.0,2488.0,6912.0,9276.0,8399.0,6836.0,13587.0,13488.0,16308.0,17727.0,16.01153919442351
51085,Hanover County,Virginia,107766.0,5361.0,17986.0,9236.0,24173.0,31220.0,19790.0,23347.0,48388.0,36031.0,52682.0,54853.0,88.92917274219239
51087,Henrico County,Virginia,330818.0,19798.0,54360.0,25188.0,92286.0,86466.0,52720.0,74158.0,160924.0,95736.0,157823.0,174690.0,546.6436629673484
51089,Henry County,Virginia,50557.0,2270.0,7416.0,3467.0,10365.0,14631.0,12408.0,9686.0,20559.0,20312.0,24429.0,26295.0,51.05311842948413
51091,Highland County,Virginia,2190.0,97.0,195.0,96.0,347.0,677.0,778.0,292.0,643.0,1255.0,1082.0,1094.0,2.0367036276542994
51093,Isle of Wight County,Virginia,37109.0,1963.0,5760.0,2613.0,8416.0,10992.0,7365.0,7723.0,15906.0,13480.0,18321.0,19079.0,45.389119191771954
