FIPS,Years of Potential Life Lost Rate,% Fair or Poor Health,% Smokers,% Adults with Obesity,Primary Care Physicians Rate,% Flu Vaccinated,% Unemployed,Average Daily PM2.5,% Severe Housing Problems
1081,6973.450289,21.463908,17.560140,29.900000,52.597710,42.000000,3.620704,12.100000,19.231434
1083,7722.208551,20.114046,18.173357,33.900000,33.897590,46.000000,3.545397,11.800000,11.301637
1085,15840.441782,30.355911,22.615911,46.900000,9.924570,32.000000,7.310345,10.900000,19.457547
1087,12688.780867,29.863338,21.414696,49.600000,37.323380,33.000000,5.463153,11.700000,19.898926
1089,8270.305986,19.257825,16.820173,32.900000,88.354390,45.000000,3.460323,11.600000,11.943551
1091,12171.584832,26.241737,21.356000,42.200000,36.129030,33.000000,5.007247,10.600000,18.098160
1093,11106.407394,22.256505,19.060204,36.800000,33.519930,39.000000,4.087975,10.500000,11.133360
1095,10062.945930,22.394653,21.017853,34.400000,55.469500,43.000000,3.382788,11.800000,13.929193
1097,10464.359728,22.399091,19.369969,36.300000,67.157060,41.000000,4.694620,10.800000,16.618047
1099,12611.658790,30.016196,23.257539,41.800000,37.511140,37.000000,6.174909,10.400000,10.523151
1101,9820.775786,23.875086,19.683153,37.700000,97.508890,38.000000,3.996060,11.900000,18.304165
1103,9540.780759,20.554282,18.855706,32.400000,48.814150,44.000000,3.519764,11.600000,13.440918
1105,14264.365984,35.429054,26.003089,43.400000,32.123350,23.000000,6.535178,10.700000,17.812500
1107,9794.391914,26.593265,21.199123,34.900000,39.651070,46.000000,4.561179,10.500000,14.238845
1109,10402.613289,24.554163,20.604656,36.200000,48.095710,38.000000,4.504268,11.000000,15.781250
1111,10407.063254,21.389294,18.998358,37.400000,30.877810,33.000000,4.015517,11.000000,15.132336
1113,11234.374839,25.463149,21.791320,45.100000,26.295030,40.000000,4.020545,12.100000,16.789792
1115,9942.758026,19.272571,18.335301,36.600000,17.007000,39.000000,3.495199,12.000000,10.556079
1117,6106.016075,16.489440,15.561157,35.000000,80.522460,44.000000,2.851423,12.000000,10.554385
1119,13159.071054,33.633016,22.491915,42.800000,55.174590,28.000000,5.893456,10.400000,23.258197
1121,12063.089161,23.197124,23.159862,38.800000,31.224630,34.000000,4.279833,11.500000,13.175461
1123,10543.510640,22.847307,18.180067,36.000000,49.163000,43.000000,4.186361,11.400000,17.074663
1125,8773.640749,20.262330,17.872632,34.600000,72.180970,44.000000,3.656628,11.300000,17.057070
1127,15205.873711,24.371719,22.680985,39.600000,40.588220,40.000000,4.249562,11.600000,12.264338
1129,12133.238991,23.040859,20.790092,32.900000,18.147720,28.000000,5.834708,10.100000,10.057236
1131,12986.861792,29.441866,22.066630,47.700000,37.316910,23.000000,9.583029,10.400000,12.664908
1133,10860.070399,21.431420,19.647968,37.800000,42.154960,40.000000,4.191800,11.000000,10.492846
2013,,16.834521,16.646811,50.500000,,,2.972857,,12.658228
2016,,15.172626,15.142823,44.300000,34.704150,,3.540802,,18.987342
