FIPS,County,Vulnerability Index,Infection Rate: Transmissible Cases,Infection Rate: Disease Spread,Pop Concentration: Pop Mobility,Pop Concentration: Residential Density,Intervention: Testing,Health & Environment: Pop Demographics,Health & Environment: Air Pollution,Health & Environment: Age Distribution,Health & Environment: Co-morbidities,Health & Environment: Health Disparities,Health & Environment: Hospital Beds
19013,"Iowa, Black Hawk",0.537931628,0.633196778,0.107906345,0.722896553,0.6663,0.568199017,0.476319752,0.383233533,0.523944662,0.327459212,0.213189357,0.411316302
19103,"Iowa, Johnson",0.512137768,0.599605716,0.153017241,0.72774822,0.8593,0.568199017,0.444486858,0.377245509,0.389293389,0.177827969,0.140282047,0.283632362
19113,"Iowa, Linn",0.498261909,0.615339292,0.241624365,0.756775634,0.3938,0.568199017,0.395348752,0.401197605,0.516660551,0.30421399,0.041968643,0.38189851
19153,"Iowa, Polk",0.521409785,0.657672283,0.149126545,0.810449352,0.6157,0.568199017,0.446080596,0.335329341,0.440780889,0.267934846,0.114365601,0.400077386
19163,"Iowa, Scott",0.503387052,0.599038571,0.210116732,0.741546484,0.3591,0.568199017,0.454875835,0.437125749,0.519104441,0.329525461,0.116874243,0.326664257
19193,"Iowa, Woodbury",0.543387595,0.606835713,0.05620155,0.678255321,0.7911,0.568199017,0.575625071,0.359281437,0.496510141,0.348663844,0.276174001,0.306692105
20045,"Kansas, Douglas",0.543913976,0.538785132,0.22992126,0.651719185,0.6991,0.876174426,0.585139484,0.407185629,0.40616015,0.225745249,0.217280007,0.536994214
20091,"Kansas, Johnson",0.488952278,0.625759863,0.284250157,0.718837458,0.0783,0.876174426,0.413364618,0.407185629,0.475207668,0.151584168,0.043245067,0.482959412
20173,"Kansas, Sedgwick",0.581070734,0.666628784,0.3977789,0.674470936,0.4588,0.876174426,0.584658405,0.419161677,0.475207668,0.348123375,0.307539307,0.507573951
20177,"Kansas, Shawnee",0.5716015,0.570881919,0.195794054,0.661707853,0.7755,0.876174426,0.579197441,0.395209581,0.560557324,0.395003487,0.193050122,0.367033383
20209,"Kansas, Wyandotte",0.647086156,0.760179843,0.23283237,0.713249211,0.6686,0.876174426,0.674712967,0.425149701,0.419124651,0.474932834,0.657392229,0.32475028
21067,"Kentucky, Fayette",0.553315397,0.596904447,0.228878648,0.741672085,0.7701,0.670114241,0.489020672,0.467065868,0.446744085,0.312213419,0.258783226,0.308056839
21111,"Kentucky, Jefferson",0.58514104,0.637441523,0.285479288,0.775835144,0.7128,0.670114241,0.491835783,0.592814371,0.519104441,0.407774999,0.235568506,0.344144132
22015,"Louisiana, Bossier",0.542435236,0.721858909,0.290034705,0.628362602,0.6635,0.071072408,0.603498021,0.437125749,0.469686207,0.348917166,0.329488083,0.558251178
22017,"Louisiana, Caddo",0.583495108,0.745219854,0.220742467,0.666663277,0.8103,0.071072408,0.655967553,0.437125749,0.535777142,0.50688244,0.479304822,0.314349184
